{'districtName': '河南省', 'articleId': '1296588', 'publishDate': 1668480180, 'procurement': '新乡市红旗区洪门镇中心学校(新乡市红旗区洪门镇初级中学）', 'title': '新乡市红旗区洪门镇中心学校(新乡市红旗区洪门镇初级中学）2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296588&channelCode=H600107', 'detail': [{'proname': '新乡市红旗区洪门镇中心学校(新乡市红旗区洪门镇初级中学）新乡市红旗区洪门镇中心学校教学设施设备采购项目', 'price': '467.53', 'require': '图书、电子屏、课桌凳、计算机、安防、空调、饮水机、仪器器材、实验室建设、三个课堂、采光照明等设施设备。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296614', 'publishDate': 1668480960, 'procurement': '郑州高新技术产业开发区人民法院', 'title': '郑州高新技术产业开发区人民法院2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296614&channelCode=H600107', 'detail': [{'proname': '郑州高新技术产业开发区人民法院餐厅外包服务项目', 'price': '205.00', 'require': '郑州高新技术产业开发区人民法院餐厅外包服务，包括：工作餐及加班餐烹饪、餐厅保洁、消毒等服务项目。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296585', 'publishDate': 1668480060, 'procurement': '郸城县土地勘测设计室', 'title': '郸城县土地勘测设计室2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296585&channelCode=H600107', 'detail': [{'proname': '郸城县土地勘测设计室东风集中整治项目', 'price': '35.00', 'require': '坑塘整治，墙体刷漆，路边石整修，垃圾清运，挖机拆除，植树费用，培路肩，回土填方，铁皮围墙，围栅栏，路灯', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296613', 'publishDate': 1668480960, 'procurement': '郑州高新技术产业开发区人民法院', 'title': '郑州高新技术产业开发区人民法院2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296613&channelCode=H600107', 'detail': [{'proname': '郑州高新技术产业开发区人民法院餐厅食材定点供应商采购项目', 'price': '520.00', 'require': '根据郑州高新技术产业开发区人民法院餐厅需要，我单位计划采购定点食材供应商，定期向我单位提供粮油调料、蔬果、肉类等餐厅食材。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296612', 'publishDate': 1668480960, 'procurement': '郑州高新技术产业开发区人民法院', 'title': '郑州高新技术产业开发区人民法院2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296612&channelCode=H600107', 'detail': [{'proname': '郑州高新技术产业开发区人民法院物业综合服务项目', 'price': '280.00', 'require': '郑州高新技术产业开发区人民法院物业综合服务项目：包含保洁、安保、物业、绿化、水、强弱电维修维护、房屋修缮等服务项目。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296566', 'publishDate': 1668479340, 'procurement': '信阳市浉河区农业农村局', 'title': '信阳市浉河区农业农村局2022年11月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296566&channelCode=H600107', 'detail': [{'proname': '信阳市浉河区农业农村局农业面源污染防治规划编制项目', 'price': '45.00', 'require': '2022年10月底完成农业面源污染防治规划初稿编制，2023年6月前完成农业面源污染防治规划定稿 编制，并通过专家评审。', 'futher': 1667232000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296555', 'publishDate': 1668479040, 'procurement': '武陟县住房和城乡建设局', 'title': '武陟县住房和城乡建设局2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296555&channelCode=H600107', 'detail': [{'proname': '武陟县住房和城乡建设局焦作市武陟县兴华中学家属院等77个老旧小区燃气管道等更新改造项目', 'price': '2950.00', 'require': '该项目建设内容包括焦作市武陟县兴华中学家属院等77个老旧小区燃气、供水等更新改造。现对该项目设计单位、施工单位进行招标。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296542', 'publishDate': 1668478560, 'procurement': '河南省非物质文化遗产保护中心', 'title': '河南省非物质文化遗产保护中心2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296542&channelCode=H600107', 'detail': [{'proname': '河南省非物质文化遗产保护中心“非遗里的河南”文化主题展项目', 'price': '160.00', 'require': '“非遗里的河南”活动中与非遗相关的文化空间的组织、运营、宣传、落实、执行等工作。', 'futher': 1669824000, 'comment': []}, {'proname': '河南省非物质文化遗产保护中心“非遗里的河南”文化主题展项目', 'price': '160.00', 'require': '“非遗里的河南”活动中与非遗相关的文化空间的组织、运营、宣传、落实、执行等工作。', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296399', 'publishDate': 1668473700, 'procurement': '河南科技大学', 'title': '河南科技大学2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296399&channelCode=H600107', 'detail': [{'proname': '河南科技大学智慧农业耕整作业装备研究平台建设项目', 'price': '199.30', 'require': '大型智慧农业动力装备;智能农机装备无人驾驶系统;大型宽幅液压翻转犁耕设备;宽幅旋耕整地机;无人化农场综合信息化管理平台;智慧耕整计算处理平台', 'futher': 1669824000, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296547', 'publishDate': 1668478860, 'procurement': '鲁山县乡村振兴局', 'title': '鲁山县乡村振兴局2023年1至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296547&channelCode=H600107', 'detail': [{'proname': '鲁山县乡村振兴局梁洼镇鹁鸽吴村手工车间建设项目', 'price': '100.00', 'require': '新建1200平方米门式钢构车间一座及配套设施', 'futher': 1672502400, 'comment': []}, {'proname': '鲁山县乡村振兴局梁洼镇鹁鸽吴村手工车间建设项目', 'price': '100.00', 'require': '新建1200平方米门式钢构车间一座及配套设施', 'futher': 1672502400, 'comment': []}]}
{'districtName': '河南省', 'articleId': '1296398', 'publishDate': 1668473700, 'procurement': '河南科技大学', 'title': '河南科技大学2022年11至12月政府采购意向', 'detailurl': 'http://www.ccgp-henan.gov.cn/henan/content?infoId=1296398&channelCode=H600107', 'detail': [{'proname': '河南科技大学机械工程学科高端轴承科研平台测试设备采购项目', 'price': '253.00', 'require': '高速数据采集与分析仪;光弹流润滑油膜测量仪;PERMAS结构分析软件;新能源汽车高速电机轴承性能试验机;X射线衍射仪;精密零件轮廓测量仪', 'futher': 1669824000, 'comment': []}]}
