('四川金顺恒发建筑工程有限公司', '002105291241583436')
('山西尚凡环保科技有限公司', '002105291258801894')
('江西中曹建设有限公司', '002105291306891597')
('洛阳市华龙建安有限公司', '002105291239453627')
('重庆市鑫卓物资有限公司', '002105291259840057')
('江苏微景电力工程有限公司', '002105291328042584')
('陕西中何建设工程有限公司', '002209182017392310')
('云南路通公路工程有限公司', '002105291328036456')
('四川安得佳建筑劳务有限公司', '002105291240485218')
('北京市容玉森建筑装饰工程有限公司', '002107141920143685')
('北京辰信建设有限公司', '002105291259815110')
('广东翔亿市政工程有限公司', '002105291254748339')
('四川博成建设工程咨询有限公司', '002105291240520651')
('四川佳旺建筑劳务有限公司', '002105291322991763')
('聊城友行建筑工程有限公司', '002203212007289384')
('湖北世纪博远建设有限公司', '002105291305844756')
('北京中成博远建设有限公司', '002105291323021587')
('广东博远建设有限公司', '002105291328025947')
('北京中京博远建设有限公司', '002304242036514178')
('广东国贤建设工程有限公司', '002109101905183637')
('北京联众兴业环境工程有限公司', '002105291242638224')
('河北卓景园林绿化工程有限公司', '002105291322978577')
('四川禹创鑫鼎建筑工程有限公司', '002105291258780536')
('内蒙古金恒达建设工程有限责任公司', '002105291241626995')
('中广大昌（北京）建设有限公司', '002108101903165606')
('甘谷金信泰建设工程有限公司', '002105291328048106')
('四川广通广建筑工程有限公司', '002105291241578819')
('北京立和建筑工程有限公司', '002105291313943112')
('北京百耐尔防水工程有限公司', '002105291240519166')
('甘肃锦沐工程建设有限公司', '002105291323016624')
('安徽金裕建筑有限公司', '002105291248679278')
('山西盛和混凝土有限公司', '002105291254747515')
('吉林省艺鸿建筑工程有限公司', '002105291240536919')
('四川广厦潮然建筑工程有限公司', '002105291255778233')
('合肥康粉建筑工程有限公司', '002301312027463589')
('六安简悦装饰工程有限公司', '002112151918235793')
('北京中玖建启建筑工程有限公司', '002108101903165550')
('福建大福建设发展有限公司', '002105291240538682')
('江苏南建建设集团有限公司', '002105291240471048')
('南通天福建筑劳务有限公司', '002105291305843852')
('黑龙江省荣泽石油设备有限公司', '002105291248658669')
('河北和顺义电力安装工程有限公司', '002105291248686584')
('中联天盛（北京）电力工程有限公司', '002105291258783505')
('山东鲁华电气有限公司', '002106111905110992')
('江苏米禾展览工程有限公司', '002105291259825708')
('辽阳冶化建筑工程有限公司', '002105291240493347')
('辽宁茂中建设工程有限公司', '002105291254765414')
('四川瀚旭建筑工程有限公司', '002105291249710564')
('四川中云兴盛建筑劳务有限公司', '002105291259837074')
('北京煜安丰泰安全防范技术有限公司', '002207192014355217')
('云南赫纪建筑工程有限公司', '002105291248672077')
('安徽春野建筑设计工程有限公司', '002107161912146856')
('贵州如虹园林建筑工程有限公司', '002105291239456218')
('江西开源电力发展有限公司', '002105291258796823')
('河北骏鸿机械设备租赁有限公司', '002105291306882025')
('河北龙奥工程咨询有限公司', '002210192021412343')
('河北路源工程监理咨询有限公司', '002203241050290501')
('陕西慧泽建设工程有限公司', '002105291240478210')
('中卫市宪立砼业有限公司', '002105291240476516')
('江苏兆启建设工程有限公司', '002105291328067407')
('北京万泽新达建筑工程有限公司', '002105291328030677')
('四川福中荣建设工程有限公司', '002105291241564405')
('孟津华瑛混凝土有限公司', '002105291239457078')
('江西长源建设有限公司', '002105291328064966')
('江苏龙武建设有限公司', '002105291254724588')
('庆阳陇博威建材有限公司', '002109031905178075')
