('邹平方德建筑工程有限公司', '002105291241606351')
('北京鑫轩建筑劳务有限公司', '002105291322998500')
('四川汉军信息系统集成有限公司', '002105291240522740')
('福建鼎沁建筑工程有限公司', '002208232013376177')
('嘉兴市瀚翔建筑工程有限公司', '002111151910217722')
('安徽省中四建设工程有限公司', '002105291241629382')
('福建东南设计集团有限公司', '002105291254736648')
('重庆加蓥装饰工程有限公司', '002202182019274602')
('四川凯鑫奥建筑工程有限公司', '002105291328026662')
('辽宁科汇建筑工程有限公司', '002105291248653369')
('云南兵工建设工程有限公司', '002105291254720342')
('北京中电博天科技有限公司', '002211192021431322')
('北京赢通泰茂建筑工程有限公司', '002105291241595507')
('云南聚焦科技有限公司', '002105291248667528')
('苏州四强基础工程有限公司', '002105291239454047')
('四川川博鑫宇建设工程有限公司', '002105291241602644')
('广东富信建设工程有限公司', '002105291306890489')
('北京天正通安建设有限公司', '002105291305858075')
('合肥市至精建筑工程有限公司', '002109161907185989')
('辽宁中岳建设工程有限公司', '002105291329075603')
('湖北鼎泰日盛建设工程有限公司', '002105291241579928')
('云南领冠建设工程有限公司', '002105291313951175')
('洛阳正龙混凝土科技有限公司', '002105291240531937')
('江西宏天建设工程有限公司', '002105291259827052')
('内蒙古广聚源建筑工程有限公司', '002105291248689330')
('云南至尊宝建筑工程有限公司', '002105291240553294')
('江西悦熙建设有限公司', '002105291305858830')
('河南华鼎建筑设计有限公司', '002105291239451502')
('四川隆辉达建设工程有限公司', '002105291249703918')
('四川鼎克建设工程有限公司', '002105291249709157')
('四川力晟建设有限公司', '002105291249708068')
('云南蝶金建筑工程有限公司', '002207082014348514')
('河北新宇建筑工程有限公司', '002105291335082370')
('安徽新能电力工程有限公司', '002105291328053412')
('北京一至天承建筑装饰工程有限公司', '002112171917238757')
('广东汇科绿建环保科技有限公司', '002105291241618482')
('北京盛鑫开元科技有限公司', '002105291328057058')
('贵州振能实业有限公司', '002204262010309179')
('广东烨璟建设有限公司', '002206302012343057')
('江苏圣光建设工程有限公司', '002105291328034430')
('四川盛达辉建设工程有限公司', '002105291306880080')
('吉林省嘉恒地质环境测绘有限公司', '002105291254733228')
('广东国宇环保科技有限公司', '002105291241601985')
('江苏宝岛建设工程有限公司', '002105291328032791')
('江苏宁宇建设工程有限公司', '002105291328052019')
('安徽喆迩建设工程有限公司', '002107071914136468')
('江苏高廷建筑工程有限公司', '002303162054492103')
('福建林强建设集团有限公司', '002105291313954010')
('江西煜耀建设工程有限公司', '002105291313932421')
('江西省安达智能建设发展有限公司', '002105291259826642')
('四川建恒鑫建筑工程有限公司', '002105291241569392')
('辽宁东方建筑装修工程有限公司', '002105291240490032')
('四川鑫蜀源路桥工程有限公司', '002105291249710153')
('湖南鑫米森林建筑装饰工程有限公司', '002207152027353738')
('黑龙江省建邦建筑工程有限公司', '002105291259825207')
('四川中物节能环保设备有限公司', '002105291239455477')
('山西振东安装装饰工程有限公司', '002105291240540434')
('广东俊采星驰装饰工程有限公司', '002105291259835959')
('江苏挚润建设有限公司', '002105291328026563')
('四川建之源建筑工程有限公司', '002105291248658893')
('北京信谊淳建设工程有限公司', '002105291258792474')
('江苏美博环境工程有限公司', '002105291248683247')
('光颖兴业（北京）建筑劳务有限公司', '002105291328069458')
('北京智瑜建筑工程有限公司', '002208272017379040')
('中国石化工程建设有限公司', '002105291241566389')
('沈阳志辉建筑机械设备安装工程有限公司', '002105291241590010')
('陕西智汇达建设有限公司', '002107131912140178')
('四川凯利思特建筑劳务有限公司', '002105291322984767')
('广东恒东建筑工程有限公司', '002105291254722821')
('山东城农网能源科技有限公司', '002105291322999144')
('北京晟兴建筑工程有限公司', '002105291329074522')
('北京天远诚毅通建筑工程有限公司', '002105291312906232')
('沈阳健晖混凝土有限公司', '002105291240470639')
('江苏新恺顺建筑工程有限公司', '002105291254734269')
('无锡同方人工环境有限公司', '002105291248650373')
('同方人工环境有限公司', '002207062012346581')
('南通市森阳建筑安装工程有限公司', '002105291239456277')
('辽宁景华工程咨询有限公司', '002105291258792592')
('重庆永雄建设工程有限公司', '002105291259822843')
('龙强建工有限公司', '002105291254756768')
('杭州通奕建筑工程有限公司', '002109221906188425')
('北京德丰元工程科技有限公司', '002105291242635963')
('苏州市鸿圣尊路桥工程有限公司', '002105291240466008')
('葛洲坝物业管理有限公司', '002105291313933053')
('上海众宁消防安全技术有限公司', '002105291335086043')
('北京久焰工程管理有限公司', '002105291305847219')
('辽宁鸿宇建筑工程有限公司', '002105291249706760')
('琼海市温泉建筑工程有限公司', '002105291240486343')
('江苏建咨工程咨询有限公司', '002105291258798091')
('杭州威耀建筑工程有限公司', '002108181903169746')
('四川焕众建筑工程有限公司', '002105291322974356')
('广东瑞达丰建设工程有限公司', '002109071940181324')
('四川兴恒基建筑工程有限公司', '002105291241574208')
('江苏宝安建设有限公司', '002105291328059423')
('山西万祯达建筑工程有限公司', '002105291241596222')
('广东广辰美建筑工程有限公司', '002202182019274523')
('内蒙古腾际建筑工程有限公司', '002105291241563605')
('北京全成装饰工程有限公司', '002105291249709673')
('江西鑫达鑫建设工程有限公司', '002105291254734920')
('北京峰玉科技有限公司', '002105291259837474')
('广东珠丰工程有限公司', '002105291248672549')
('北京开启建筑劳务有限公司', '002105291255777389')
('北京中浤建筑工程有限公司', '002105291305875973')
('北京博卡拉建设工程有限公司', '002208042023364999')
('上海帛华建筑装饰工程有限公司', '002105291254715421')
('四川欣鑫荣建设工程有限公司', '002105291328073238')
('吉林省康安建筑劳务分包有限公司', '002105291328027631')
('恒航鹏达（北京）建设有限公司', '002210142014409660')
('广东新生建设工程有限公司', '002105291305851398')
('广西新生建设工程有限公司', '002106031902104207')
('河南珏莱建筑工程有限公司', '002303292029500136')
('山西中道路研工程咨询有限公司', '002105291258788286')
('江苏建晟科技有限公司', '002105291254747319')
('北京潞潮园林绿化有限公司', '002105291313946052')
('中芯恒润环境科技（北京）有限公司', '002105291335086205')
('中创筑元建设有限公司', '002206172011335230')
('山西华阳建设工程有限公司', '002105291322973516')
('大连华昌电子工程有限公司', '002105291240495144')
('四川昱兴弈成建设工程有限公司', '002105291249714858')
('四川省和盛源建筑劳务有限公司', '002105291240484852')
('北京衡晟建设工程有限公司', '002105291322984785')
('广东金颢轩环境工程设备科技有限公司', '002105291306884922')
('江西山磐建筑工程有限公司', '002107101912138839')
('四川裕昇源建筑工程有限公司', '002112061917230224')
('四川陕洛建筑工程有限公司', '002107051924133950')
('千翔精密设备安装（北京）有限公司', '002211152021428348')
('北京新世翼节能环保科技股份有限公司', '002212302027451353')
('中景阳光（北京）建设有限公司', '002105291242634291')
('江西荣通路桥工程有限公司', '002105291254746216')
('北京四方讯通通信工程有限公司', '002204142012302063')
('黑龙江民安建筑工程有限公司', '002105291248660892')
('山东万佳达电子科技有限公司', '002106081916107970')
('营口天辅兴业混凝土制品有限公司', '002105291240495623')
('河北铭石建设工程有限公司', '002105291322996193')
('山西中太工程建设咨询有限公司', '002105291248685588')
('北京信华盛合科技发展有限公司', '002108071903163515')
('广东平建建设集团有限公司', '002105291306897342')
('南丰县建筑设计院', '002105291254733530')
('中铁建工集团河北有限公司', '002305102040522291')
('永丰县建筑设计院', '002105291240550744')
('江西省宜丰县建筑设计院', '002105291255766367')
('北京百街建设有限公司', '002208032013364060')
('长治市久久神龙消防器材有限公司', '002105291240473935')
('长治市中创建筑工程有限公司', '002105291241605383')
('广东翔熙建筑有限公司', '002105291328060544')
('紫光路安科技有限公司', '002105291312911603')
('北京至诚建设工程有限公司', '002105291305853828')
('四川省正昌安装有限公司', '002105291241630584')
('重庆盈磊电力工程有限公司', '002105291258803260')
('辽宁东润建设工程有限公司', '002105291254745420')
('江苏大福建设有限公司', '002105291248658974')
('扬州天达建设集团有限公司', '002105291254723138')
('江苏基坦建设工程有限公司', '002105291313933128')
('云南杉巍建筑工程有限公司', '002105291328042843')
('广东腾铉建设工程有限公司', '002107051924133782')
('长沙湘航建筑有限公司', '002105291241579695')
('贵州铭璇翔创建筑工程有限公司', '002112071941232117')
('江苏建通科技有限公司', '002105291328023571')
('四川中南鼎鑫建筑工程有限公司', '002105291248664727')
('江西善为园林建筑工程有限公司', '002105291322003523')
('四川省源宸科技有限责任公司', '002105291254715936')
('四川江宇建筑工程有限公司', '002105291248680637')
('安徽钰璟建设工程有限公司', '002105291248682999')
('江西鹏景建设工程有限公司', '002105291248686167')
('天津金辰建材有限公司', '002105291258782938')
('吉林省鸿昇建设集团有限公司', '002105291305843115')
('黑龙江博翔建设工程有限公司', '002105291248687415')
('江苏洲泉建设工程有限公司', '002105291255776543')
('陕西宸悦桓建设工程有限公司', '002105291259839054')
('江西鼎盛建筑有限公司', '002105291259827878')
('泰州市恒业建筑安装工程有限公司', '002105291240515316')
('四川祥源鑫建设工程有限公司', '002105291241584800')
('吉林市宏海电力设备安装有限公司', '002105291240557391')
('江苏茂银建设有限公司', '002105291305867942')
('北京恒隆昌盛科技有限公司', '002105291242641153')
('中福瑞豪（北京）建设有限公司', '002105291248678385')
('浙江瑞德通讯设备有限公司', '002105291248652721')
('江苏日升科技实业有限公司', '002105291259822106')
('内蒙古拓淼水利水电工程有限公司', '002105291248660987')
('广东华信智能交通科技有限公司', '002105291254734960')
('中企国运（北京）建筑工程有限公司', '002105291313939117')
('江西安尔捷建设工程有限公司', '002105291254743792')
('江西海晨建设工程有限责任公司', '002105291306880101')
('吉林省业晟水利水电工程有限公司', '002105291305878248')
('辽宁福泰建筑装饰工程有限公司', '002105291248685121')
('陕西雷天智建设工程有限公司', '002105291313928098')
('北京华伟隆盛工程有限公司', '002105291328032377')
('山东德润绿建集成房屋有限公司', '002105291335085054')
('四川宝亭建筑工程有限公司', '002106241905120772')
('山西恒顺久安建筑工程有限公司', '002105291322988267')
('四川亚雄装饰工程有限公司', '002105291240529889')
('中福通达（北京）建筑工程有限公司', '002105291249704406')
('广东中域设计装饰工程有限公司', '002105291254739133')
('重庆茂材建筑劳务有限公司', '002105291258798510')
('江苏永富电力工程有限公司', '002105291248672479')
('北京正和恒基滨水生态环境治理股份有限公司', '002105291240561106')
('河南蓝色实业有限公司', '002105291240479421')
('北京时代中兴建筑有限公司', '002105291240463603')
('广东华鑫建设工程有限公司', '002105291323021074')
('江西吉润建设有限公司', '002105291248664736')
('北信安科（北京）智能电子技术有限公司', '002105291249714488')
('山东清大汇中清洁能源科技有限公司', '002105291323020791')
('蓝天恒宇（北京）建筑工程有限公司', '002105291254715911')
('云南众建建设工程有限公司', '002105291242631484')
('四川新启工程建设管理有限公司', '002105291240540216')
('中宏皓锐（北京）工程技术有限公司', '002111271913225551')
('中视遐迩（北京）科技有限公司', '002107141920143610')
('江西诺贝利建设有限公司', '002105291249709208')
('西安瀚宇通信技术有限公司', '002209252015397904')
('广东鸿亚建筑装饰有限公司', '002107081951137267')
('河北立伟炉窑工程有限公司', '002105291322005034')
('河北十环环境评价服务有限公司', '002105291312904751')
('福建森燊建设有限公司', '002105291305853383')
('四川康宏建筑工程有限公司', '002105291306889909')
