{'cname': '北京中天远建筑工程有限公司', 'corcode': '91110109MA019HWA91', 'cid': '002105291241581606'}
{'cname': '北京德鼎元建设有限公司', 'corcode': '91110115091891311T', 'cid': '002105291241570936'}
{'cname': '北京身临其境文化股份有限公司', 'corcode': '91110108587696747X', 'cid': '002105291241581940'}
{'cname': '北京农道创展空间建筑装饰工程有限公司', 'corcode': '911101057567403401', 'cid': '002105291241581620'}
{'cname': '北京众信明建建筑工程有限责任公司', 'corcode': '91110116MA002P1X2C', 'cid': '002105291241592989'}
{'cname': '北京隆昌兴华科技发展有限公司', 'corcode': '91110102801446547C', 'cid': '002105291241592990'}
{'cname': '北京三月雨文化传播有限责任公司', 'corcode': '91110108771588789U', 'cid': '002105291241592991'}
{'cname': '北京人金石建筑劳务有限公司', 'corcode': '9111011659066528XL', 'cid': '002105291241592992'}
{'cname': '北京思维实创科技有限公司', 'corcode': '911101056787590613', 'cid': '002105291241592993'}
{'cname': '北京宝溢建设装饰工程有限公司', 'corcode': '91110115085504397L', 'cid': '002105291241581802'}
{'cname': '北京海化联合防水保温工程有限公司', 'corcode': '91110115773364068X', 'cid': '002105291241581803'}
{'cname': '北京中建华宇机电工程有限公司', 'corcode': '91110105735111465E', 'cid': '002105291241581804'}
{'cname': '北京红岩伟业科技有限公司', 'corcode': '91110114MA017GDK6C', 'cid': '002105291241570947'}
{'cname': '北京翼达鼎盛建设工程有限公司', 'corcode': '911101090649466478', 'cid': '002105291241570948'}
{'cname': '北京中振航宇建筑工程有限公司', 'corcode': '91110109MA018DJK14', 'cid': '002105291241570958'}
{'cname': '北京恒睿建达消防工程有限公司', 'corcode': '91110114MA0195M949', 'cid': '002105291321968729'}
{'cname': '北京顺成建业建筑工程有限公司', 'corcode': '91110109MA01YHN14Q', 'cid': '002105291322986044'}
{'cname': '北京佰辰建设工程有限公司', 'corcode': '91110109MA01XWC44T', 'cid': '002105291322000800'}
{'cname': '中荣鼎泰（北京）建设有限公司', 'corcode': '91110109MA01RE353H', 'cid': '002105291322000811'}
{'cname': '北京华昊水利水电工程有限责任公司', 'corcode': '9111022872260237XB', 'cid': '002105291322989025'}
{'cname': '中瑞环拓有限公司', 'corcode': '91110115MA01NW123N', 'cid': '002105291322981203'}
{'cname': '鸿楼装饰集团有限公司', 'corcode': '911101126723604048', 'cid': '002105291322981217'}
{'cname': '北京鑫康嘉业建筑工程有限公司', 'corcode': '91110109MA00FYNT5W', 'cid': '002105291322001139'}
{'cname': '北京绿都浩天环保科技有限公司', 'corcode': '91110106348315476A', 'cid': '002105291321964567'}
{'cname': '北京中煜兴宝建筑工程有限公司', 'corcode': '91110114MA01HYY851', 'cid': '002105291321964569'}
{'cname': '中创天达（北京）建设有限公司', 'corcode': '91110109MA01XRAY3H', 'cid': '002105291322982917'}
{'cname': '北京融晟鑫辉建筑工程有限公司', 'corcode': '91110109MA01WPQJ18', 'cid': '002105291322002179'}
{'cname': '北京达因创通科技有限公司', 'corcode': '91110108567468587L', 'cid': '002105291321965956'}
{'cname': '中煤信息技术（北京）有限公司', 'corcode': '91110101740444440T', 'cid': '002105291322983623'}
{'cname': '北京辛峰润霖绿化工程有限公司', 'corcode': '9111011432721086XQ', 'cid': '002105291322983978'}
{'cname': '中星世纪（北京）建设有限公司', 'corcode': '91110109MA01TPJU0W', 'cid': '002105291322995785'}
{'cname': '中联天盛（北京）租赁机械设备服务有限公司', 'corcode': '91110109MA01XMX674', 'cid': '002105291322995790'}
{'cname': '北京中瑞科安安装工程有限公司', 'corcode': '91110111MA008TEK2P', 'cid': '002105291322998769'}
{'cname': '北京圣和唐建筑工程有限公司', 'corcode': '91110111MA01TNTM32', 'cid': '002105291322995796'}
{'cname': '北京龙川洁净室运营管理有限公司', 'corcode': '91110117MA01WW1R76', 'cid': '002105291321967007'}
{'cname': '中安鑫德（北京）建筑工程有限公司', 'corcode': '91110109MA01Y8X217', 'cid': '002105291322999452'}
{'cname': '北京华忠建筑工程有限公司', 'corcode': '91110109MA01YBH52Y', 'cid': '002105291322999464'}
{'cname': '北京晟督建筑工程有限公司', 'corcode': '91110228MA01812L92', 'cid': '002105291322999465'}
{'cname': '北京金丰坤泰建筑工程有限公司', 'corcode': '91110109MA01QMQ56W', 'cid': '002105291322999466'}
{'cname': '北京兴百建设安装集团有限公司', 'corcode': '911100001023686661', 'cid': '002105291322999802'}
{'cname': '北京中科弘创建设工程有限公司', 'corcode': '91110109MA01WH80X6', 'cid': '002105291322000860'}
{'cname': '北京中领伟业建筑工程有限公司', 'corcode': '91110109MA01RH8F54', 'cid': '002105291322000861'}
{'cname': '德润鑫鼎（北京）工程技术有限公司', 'corcode': '91110101091878600H', 'cid': '002105291322000864'}
{'cname': '中基伟业（北京）建设有限公司', 'corcode': '91110109MA01RG5D70', 'cid': '002105291322000867'}
{'cname': '中筑信达（北京）建筑工程有限公司', 'corcode': '91110109MA01WYXG6L', 'cid': '002105291322000870'}
{'cname': '北京润博同创科技有限公司', 'corcode': '91110302MA006F326E', 'cid': '002105291248678275'}
{'cname': '中泰建诚（北京）建设工程有限公司', 'corcode': '91110109MA0083MK2D', 'cid': '002105291248678276'}
{'cname': '北京市绿龙永业消防工程有限公司', 'corcode': '91110106765523380G', 'cid': '002105291248678279'}
{'cname': '北京兴华鑫宇建筑劳务有限公司', 'corcode': '911102283483869286', 'cid': '002105291248678288'}
{'cname': '中能宏大（北京）建设有限公司', 'corcode': '91110113MA01DKW66R', 'cid': '002105291248653150'}
{'cname': '北京中兵岩土工程有限公司', 'corcode': '91110102101570467P', 'cid': '002105291248694955'}
{'cname': '北京顺意宏宇建设工程有限公司', 'corcode': '91110109MA01CQF34A', 'cid': '002105291248653491'}
{'cname': '北京嘉润建海防水工程有限公司', 'corcode': '9111022956368547XT', 'cid': '002105291248681568'}
{'cname': '五洲富士化水工程有限公司', 'corcode': '91110102625910098Q', 'cid': '002105291248654184'}
{'cname': '元凌达通（北京）建筑工程有限公司', 'corcode': '91110109MA01LTED7L', 'cid': '002105291248695687'}
{'cname': '北京宜和人文开元建筑设计事务所（普通合伙）', 'corcode': '91110108661579769U', 'cid': '002105291248679696'}
{'cname': '环球空间工程设计中心有限公司', 'corcode': '91110108752167858C', 'cid': '002105291248654185'}
{'cname': '东易日盛家居装饰集团股份有限公司', 'corcode': '911100006330023135', 'cid': '002105291248654186'}
{'cname': '北京宏瑞顺达建筑装饰工程有限公司', 'corcode': '9111011659969057XF', 'cid': '002105291248696382'}
{'cname': '北京东方立业建筑工程有限公司', 'corcode': '9111011569771490X1', 'cid': '002105291248697077'}
{'cname': '北京德恩建设工程有限公司', 'corcode': '91110108760140102G', 'cid': '002105291254751250'}
{'cname': '北京中瑞恒泰工程建设有限公司', 'corcode': '91110106563628504K', 'cid': '002105291254751251'}
{'cname': '友邦众诚（北京）建设工程有限公司', 'corcode': '911101150765656063', 'cid': '002105291254751252'}
{'cname': '北京银泰兄弟建筑工程有限公司', 'corcode': '911101147999665771', 'cid': '002105291254751253'}
{'cname': '北京怡合通机电设备安装工程有限公司', 'corcode': '91110105746737797B', 'cid': '002105291254751254'}
{'cname': '中龙元建设集团有限公司', 'corcode': '9111022805139402X2', 'cid': '002105291254751255'}
{'cname': '北京今朝装饰设计有限公司', 'corcode': '9111011771772791X7', 'cid': '002105291254751256'}
{'cname': '北京国力达智能科技发展有限公司', 'corcode': '91110106802225703B', 'cid': '002105291254751257'}
{'cname': '北京建冉建筑工程有限公司', 'corcode': '91110109069638969F', 'cid': '002105291254749605'}
{'cname': '北京建诚汇丰劳务有限公司', 'corcode': '911101065906071350', 'cid': '002105291255772017'}
{'cname': '北京市电通电话技术开发有限公司', 'corcode': '911101081019453292', 'cid': '002105291254761976'}
{'cname': '北京美宸信息咨询有限公司', 'corcode': '91110228MA0083GHX8', 'cid': '002105291254751270'}
{'cname': '北京凯创华峰建设工程有限公司', 'corcode': '91110228551413231X', 'cid': '002105291254762698'}
{'cname': '北京源顺通达市政工程有限公司', 'corcode': '911101110536249767', 'cid': '002105291254762700'}
{'cname': '北京羿宏建筑工程有限公司', 'corcode': '91110111MA01N5533E', 'cid': '002105291254762701'}
{'cname': '北京浩宇晟建筑工程有限公司', 'corcode': '91110109MA01ND607B', 'cid': '002105291313962850'}
{'cname': '北京永暖机电设备工程有限公司', 'corcode': '91110111672823341J', 'cid': '002105291321971069'}
{'cname': '北京君尚邑博文化传播有限公司', 'corcode': '91110105318009259Y', 'cid': '002105291321971070'}
{'cname': '北京华统乾都建设工程有限公司', 'corcode': '91110113MA01MG8H1C', 'cid': '002105291321971071'}
{'cname': '北京九州拓达工程科技有限公司', 'corcode': '91110113MA01MN4H5D', 'cid': '002105291321971072'}
{'cname': '北京中鸿嘉安建筑工程有限公司', 'corcode': '91110109MA01R9DTXC', 'cid': '002105291321971415'}
{'cname': '浩博泰德（北京）科技有限公司', 'corcode': '91110114MA01H4693P', 'cid': '002105291321971417'}
{'cname': '中润华建（北京）建设有限公司', 'corcode': '91110109MA01RF2T62', 'cid': '002105291321971419'}
{'cname': '城利（北京）建设有限公司', 'corcode': '91110109MA01TGQA7G', 'cid': '002105291321971420'}
{'cname': '北京天华鸿盛建筑工程有限公司', 'corcode': '91110109MA01QJE27E', 'cid': '002105291321971425'}
{'cname': '中源永旭（北京）建筑有限公司', 'corcode': '91110109MA01MF8G08', 'cid': '002105291313962865'}
{'cname': '北京壹达诚机电工程有限责任公司', 'corcode': '91110113MA01TH2Q85', 'cid': '002105291322975771'}
{'cname': '北京启忠建筑工程有限公司', 'corcode': '91110117MA01T00W8W', 'cid': '002105291322974114'}
{'cname': '北京汇天源建筑工程劳务分包有限公司', 'corcode': '91110116762954169L', 'cid': '002105291313961100'}
{'cname': '北方爆破科技有限公司', 'corcode': '91110000100027972C', 'cid': '002105291313961101'}
{'cname': '北京华厦新景建设工程有限公司', 'corcode': '91110109MA018RDR9D', 'cid': '002105291241568292'}
{'cname': '北京华通信联科技有限公司', 'corcode': '911101087521816686', 'cid': '002105291241568744'}
{'cname': '北京杰驰霖建设工程有限公司', 'corcode': '91110115798517198X', 'cid': '002105291241568745'}
{'cname': '北京宏中天诚建筑工程有限公司', 'corcode': '91110112MA017XJW9C', 'cid': '002105291241568460'}
{'cname': '北京鼎顺通信工程有限公司', 'corcode': '91110115754668955D', 'cid': '002105291241568746'}
{'cname': '北京宝顺泰建筑安装工程有限公司', 'corcode': '91110112597733070W', 'cid': '002105291241568461'}
{'cname': '北京国顺嘉承建筑工程有限公司', 'corcode': '91110113MA00EC0810', 'cid': '002105291241568462'}
{'cname': '易申（北京）国际建筑材料有限公司', 'corcode': '91110105799977030Q', 'cid': '002105291241568463'}
{'cname': '北京天房绿茵园林绿化工程有限公司', 'corcode': '9111011310256734X3', 'cid': '002105291241568606'}
{'cname': '望天树空间装饰（北京）有限公司', 'corcode': '91110111MA003HL977', 'cid': '002105291241568464'}
{'cname': '北京环宇铭城建设工程有限公司', 'corcode': '91110228MA009BCH1C', 'cid': '002105291240559166'}
{'cname': '北京恒宇伟业建筑工程有限公司', 'corcode': '91110111MA00FP5P3C', 'cid': '002105291240551641'}
{'cname': '大作营造（北京）建设工程有限公司', 'corcode': '91110116MA008BN82M', 'cid': '002105291240559175'}
{'cname': '北京冀北建筑工程有限公司', 'corcode': '911101130993167172', 'cid': '002105291240559184'}
{'cname': '北京爱德伦工程技术有限公司', 'corcode': '91110108759633495L', 'cid': '002105291240559189'}
{'cname': '北京正阳佳业科技有限公司', 'corcode': '911101177886233251', 'cid': '002105291328054151'}
{'cname': '北京威樾腾达市政工程有限公司', 'corcode': '91110111MA01YW713U', 'cid': '002105291328062999'}
{'cname': '北京国环中能环境工程有限公司', 'corcode': '91110302MA00FAX81A', 'cid': '002105291328068988'}
{'cname': '中鸿瑞工建设有限公司', 'corcode': '91110109MA020DM63J', 'cid': '002105291328069002'}
{'cname': '中茂盛世（北京）建筑工程有限公司', 'corcode': '91110109MA020TTB2Y', 'cid': '002105291328069003'}
{'cname': '沃尔（北京）建筑装饰工程有限公司', 'corcode': '91110116743070894D', 'cid': '002105291328069671'}
{'cname': '北京给力华劳务服务有限公司', 'corcode': '911101167861531040', 'cid': '002105291328069672'}
{'cname': '中科筑诚建设工程有限公司', 'corcode': '9111000056583191XK', 'cid': '002105291328069673'}
{'cname': '北京金世源建筑工程有限公司', 'corcode': '91110109784806298U', 'cid': '002105291328069674'}
{'cname': '东宸建设（北京）有限公司', 'corcode': '91110109MA01Q66N2F', 'cid': '002105291328055557'}
{'cname': '中外建华诚（北京）工程设计咨询有限公司', 'corcode': '91110107051374045P', 'cid': '002105291328072043'}
{'cname': '中广益轩（北京）建设发展有限公司', 'corcode': '91110117MA01Y4JN39', 'cid': '002105291328056927'}
{'cname': '中浩环保股份有限公司', 'corcode': '91110109MA01W87P3N', 'cid': '002105291328071056'}
{'cname': '北京步昊泽通建设工程有限公司', 'corcode': '91110109MA01RGNH4B', 'cid': '002105291328071063'}
{'cname': '中海中汇（北京）建设集团有限公司', 'corcode': '91110117MA01W1582Q', 'cid': '002105291328057271'}
{'cname': '北京龙麒建设工程有限公司', 'corcode': '91110109MA018TNR8L', 'cid': '002105291240552845'}
{'cname': '北京东联世纪科技股份有限公司', 'corcode': '91110108748138739T', 'cid': '002105291240552846'}
{'cname': '北京嘉和华创工程监理有限公司', 'corcode': '911101147719983159', 'cid': '002105291240560140'}
{'cname': '北京宏瑞基业建筑工程有限公司', 'corcode': '911101155751844534', 'cid': '002105291241569207'}
{'cname': '北京天直装饰工程有限责任公司', 'corcode': '91110101634348017C', 'cid': '002105291240560152'}
{'cname': '北京涵瑞建筑工程有限公司', 'corcode': '91110111MA00H8QB7B', 'cid': '002105291240560157'}
{'cname': '北京东方新世纪建筑安装工程有限公司', 'corcode': '91110106600048577G', 'cid': '002105291240552872'}
{'cname': '京润天城（北京）建设有限公司', 'corcode': '91110109MA00FDCP56', 'cid': '002105291240552874'}
{'cname': '北京瑞亚阳光科技有限公司', 'corcode': '911101126656416383', 'cid': '002105291241569208'}
{'cname': '北京精诚乐业建筑劳务有限公司', 'corcode': '91110115771976992T', 'cid': '002105291241569209'}
{'cname': '北京保旭建筑工程有限公司', 'corcode': '91110109MA00BXDJ5B', 'cid': '002105291241569957'}
{'cname': '北京鼎业环艺装饰有限公司', 'corcode': '91110113091850368J', 'cid': '002105291241569965'}
{'cname': '北京林涵顺发建筑装饰工程有限公司', 'corcode': '91110116MA008Q1U33', 'cid': '002105291241569214'}
{'cname': '北京鑫业安顺装饰工程有限公司', 'corcode': '9111011578617735XU', 'cid': '002105291241569655'}
{'cname': '北京斯普瑞电气安装工程有限公司', 'corcode': '91110115802870921M', 'cid': '002105291241569219'}
{'cname': '北京博昊天成建筑装饰工程有限公司', 'corcode': '91110116MA01G2C74H', 'cid': '002105291242640652'}
{'cname': '北京泰翔基业建筑工程有限公司', 'corcode': '91110111MA01GQMF93', 'cid': '002105291242640654'}
{'cname': '北京晟昊建筑劳务有限公司', 'corcode': '91110111MA01H82A70', 'cid': '002105291242640655'}
{'cname': '北京迪业顺鑫机电工程有限公司', 'corcode': '91110111MA01H0LJXQ', 'cid': '002105291242640656'}
{'cname': '北京欣艺雅装饰工程有限公司', 'corcode': '91110117723562154F', 'cid': '002105291242641012'}
{'cname': '同方泰德国际科技（北京）有限公司', 'corcode': '91110116790652328C', 'cid': '002105291242641014'}
{'cname': '北京亿赫公路养护有限责任公司', 'corcode': '9111011280246494XX', 'cid': '002105291242641015'}
{'cname': '北京八方和力装饰装修工程有限公司', 'corcode': '91110116576877032W', 'cid': '002105291242641016'}
{'cname': '北京华岩建业建筑有限公司', 'corcode': '91110111MA01BK7N5K', 'cid': '002105291242641350'}
{'cname': '北京宝嘉建设工程有限公司', 'corcode': '91110117MA0196NMXB', 'cid': '002105291242641701'}
{'cname': '北京阳晨机械设备安装有限责任公司', 'corcode': '9111011710292890XD', 'cid': '002105291242641702'}
{'cname': '北京巨安建设有限公司', 'corcode': '91110116769919059E', 'cid': '002105291242641704'}
{'cname': '中冶空铁轨道交通有限公司', 'corcode': '91110113MA01CN700P', 'cid': '002105291242641705'}
