{'cname': '鑫启元（北京）建筑工程有限公司', 'corcode': '91110116MAC3M7A049', 'cid': '002212312027452284'}
{'cname': '恒创中科（北京）工程技术有限公司', 'corcode': '91110116MAC3XJHP6C', 'cid': '002212312027452285'}
{'cname': '北京毅定弘建筑装饰工程有限公司', 'corcode': '91110116MAC45AN54Y', 'cid': '002212312027452286'}
{'cname': '北京中恒星源建筑工程有限公司', 'corcode': '91110113MABXJ0836Y', 'cid': '002212212200448000'}
{'cname': '北京天沐宏业科技发展有限公司', 'corcode': '911101060785638234', 'cid': '002212212200448005'}
{'cname': '北京胜施易装饰工程有限公司', 'corcode': '91110106569473072T', 'cid': '002212212200448007'}
{'cname': '北京众建永达建筑装饰工程有限公司', 'corcode': '91110115MAC0W6DA4D', 'cid': '002212312027452307'}
{'cname': '北京中承宏业建设工程有限公司', 'corcode': '91110116MAC18HMC8Y', 'cid': '002212312027452308'}
{'cname': '方舟基业（北京）工程咨询有限公司', 'corcode': '91110102MABWK2PU5F', 'cid': '002301062024455325'}
{'cname': '北京中机盛世科技有限公司', 'corcode': '91110108672821012Q', 'cid': '002212292157450664'}
{'cname': '北京桉迈捷建筑装饰工程有限公司', 'corcode': '91110116MA008FRF67', 'cid': '002212222154448433'}
{'cname': '威灵顿管理咨询（北京）有限公司', 'corcode': '911101055712006555', 'cid': '002212222154448436'}
{'cname': '北京华科软科技有限公司', 'corcode': '91110108717764040M', 'cid': '002301102027456189'}
{'cname': '名科（北京）科学技术有限公司', 'corcode': '91110105MA01REB11T', 'cid': '002301052026454536'}
{'cname': '禹宸（北京）建设有限公司', 'corcode': '91110117MAC0W3QW95', 'cid': '002212302027451288'}
{'cname': '中亿天成（北京）建筑劳务有限公司', 'corcode': '91110111MA00GJQT9H', 'cid': '002105291322005246'}
{'cname': '北京帝测科技股份有限公司', 'corcode': '911101147635026902', 'cid': '002105291322996359'}
{'cname': '晟世久荣（北京）建筑工程有限公司', 'corcode': '91110117MA01UCE974', 'cid': '002105291321968840'}
{'cname': '北京安固消防工程有限公司', 'corcode': '91110117MA01JHUF10', 'cid': '002105291321968845'}
{'cname': '北京源鑫隆建筑安装工程有限公司', 'corcode': '91110111MA01FX3P3Y', 'cid': '002105291321969185'}
{'cname': '北京动力源科技股份有限公司', 'corcode': '911100001021218238', 'cid': '002105291321969186'}
{'cname': '北京秦朝装饰工程有限公司', 'corcode': '91110108MA009PD82E', 'cid': '002105291321969187'}
{'cname': '北京德元铭嘉建筑工程有限公司', 'corcode': '91110109MA01QQNE11', 'cid': '002105291322007301'}
{'cname': '北京智晖建筑工程有限公司', 'corcode': '91110117MA01XH9P6N', 'cid': '002105291322007302'}
{'cname': '北京卡本籁思建设有限公司', 'corcode': '91110117MA01U03T8K', 'cid': '002105291322007304'}
{'cname': '北京普路同科技有限公司', 'corcode': '91110106069557659P', 'cid': '002105291322997047'}
{'cname': '北京机施兴合劳务有限公司', 'corcode': '91110102691666150H', 'cid': '002105291321964682'}
{'cname': '北京蓝天建筑工程集团有限公司', 'corcode': '9111000076421464XW', 'cid': '002105291321964695'}
{'cname': '荣联科技集团股份有限公司', 'corcode': '91110000802062406U', 'cid': '002105291321964696'}
{'cname': '北京盛奇建筑工程有限公司', 'corcode': '91110115762982223X', 'cid': '002105291321964697'}
{'cname': '北京华鑫宏业建筑安装工程有限公司', 'corcode': '91110109MA01K0226E', 'cid': '002105291248679170'}
{'cname': '北京中振兴业建筑有限公司', 'corcode': '91110109MA01KML27F', 'cid': '002105291248679173'}
{'cname': '中盛森腾（北京）建筑工程有限公司', 'corcode': '911101087951177629', 'cid': '002105291248679517'}
{'cname': '精金绩（北京）建设工程有限公司', 'corcode': '91110228MA00355J45', 'cid': '002105291248679518'}
