{'cname': '北京市富华世纪电力工程有限公司', 'cid': '002105291241622801'}
{'cname': '北京斌悍商贸有限公司', 'cid': '002105291248679189'}
{'cname': '北京建和隆林环保科技有限公司', 'cid': '002105291306897591'}
{'cname': '中轩奕霖（北京）建设有限公司', 'cid': '002111271913225554'}
{'cname': '北京中加建筑工程有限公司', 'cid': '002105291239455587'}
{'cname': '北京恒隆伟业环境科技有限公司', 'cid': '002105291259840918'}
{'cname': '北京观之龙装饰工程有限公司', 'cid': '002210252017415743'}
{'cname': '北京中鑫宝城建筑工程有限公司', 'cid': '002105291306897585'}
{'cname': '北京正阳兴盛绿色能源科技有限公司', 'cid': '002105291240525128'}
{'cname': '北京杰远禹虹防水工程有限公司', 'cid': '002105291240536320'}
{'cname': '鲁匠亭阁家居装饰（集团）有限公司', 'cid': '002105291241615115'}
{'cname': '北京中大工建工程技术有限公司', 'cid': '002105291312917848'}
{'cname': '北京致远慧通科技发展有限公司', 'cid': '002106121902111070'}
{'cname': '北京泰嘉瑞佰建筑有限公司', 'cid': '002105291306883438'}
{'cname': '北京恒吉科技有限公司', 'cid': '002207162014354026'}
{'cname': '北京纵诚科技有限公司', 'cid': '002105291259839879'}
{'cname': '北京筑基盛业工程建设有限公司', 'cid': '002105291305847295'}
{'cname': '北京德鸿建业建设有限公司', 'cid': '002105291254732729'}
{'cname': '中能全利（北京）建设有限公司', 'cid': '002105291306903326'}
{'cname': '北京信带通网络科技有限公司', 'cid': '002105291312917856'}
{'cname': '北京拓标建筑工程有限公司', 'cid': '002204080428298428'}
{'cname': '北京瑞和伟业建筑装饰工程有限公司', 'cid': '002111161910218292'}
{'cname': '北京红静鑫丰建筑工程有限公司', 'cid': '002105291306894326'}
{'cname': '北京双腾建筑工程有限公司', 'cid': '002105291306893294'}
{'cname': '北京德润建筑劳务有限公司', 'cid': '002105291259812240'}
{'cname': '北京尚格机电工程有限责任公司', 'cid': '002105291240537354'}
{'cname': '北京泰盛远升建筑有限公司', 'cid': '002207282014360138'}
{'cname': '北京睿兴建筑工程有限公司', 'cid': '002105291239455757'}
{'cname': '北京华锦源耐磨材料有限公司', 'cid': '002105291239455590'}
{'cname': '北京鸿达亿信建筑装饰工程有限公司', 'cid': '002106121902111159'}
{'cname': '中建盛源（北京）建设工程有限公司', 'cid': '002105291313919911'}
{'cname': '中冀博远（北京）消防工程技术有限公司', 'cid': '002204080428298429'}
{'cname': '北京中鑫通澳装饰设计工程有限公司', 'cid': '002105291240492840'}
{'cname': '北京天恒华意科技发展有限公司', 'cid': '002205252004323106'}
{'cname': '北京市丰台区建筑市政设计所', 'cid': '002105291305858006'}
{'cname': '北京伟农奇苑园林绿化科技有限公司', 'cid': '002105291248671428'}
{'cname': '北京中亦节然环保工程有限公司', 'cid': '002105291254735879'}
