{'cname': '福建达雁建设工程有限公司', 'cid': '002105291328064004'}
{'cname': '陕西东朗隆兴建筑工程有限公司', 'cid': '002106251905121709'}
{'cname': '西藏谢通门通籁建新建筑工程有限责任公司', 'cid': '002105291254755153'}
{'cname': '甘肃金坐标建设工程有限公司', 'cid': '002105291259819062'}
{'cname': '北京雨中王建筑工程有限公司', 'cid': '002110131908198033'}
{'cname': '河南伍嘉建筑工程有限公司', 'cid': '002108301913176693'}
{'cname': '河南瑞华玻璃幕墙装饰工程有限公司', 'cid': '002105291241606657'}
{'cname': '江苏春腾建设工程有限公司', 'cid': '002105291248686993'}
{'cname': '大同市勘察测绘院', 'cid': '002105291258793696'}
{'cname': '湖北环境修复与治理技术研究有限公司', 'cid': '002105291328029320'}
{'cname': '和田市中梦宏泰环保建材有限公司', 'cid': '002105291248685084'}
{'cname': '甘肃华杰电力安装工程有限公司', 'cid': '002105291241616384'}
{'cname': '安徽盛智建设工程有限公司', 'cid': '002105291305855502'}
{'cname': '西安长城岩土工程有限公司', 'cid': '002105291240492842'}
{'cname': '辽宁大坤建筑装饰工程有限公司', 'cid': '002105291305873493'}
{'cname': '福建百庆达建设工程有限公司', 'cid': '002105291258792652'}
{'cname': '安徽高喆建设工程有限公司', 'cid': '002212092049442314'}
{'cname': '陕西顺之鑫建设工程有限公司', 'cid': '002105291254738192'}
{'cname': '宣城市声雨装璜工程有限责任公司', 'cid': '002105291305855435'}
{'cname': '湖北振达建筑安装工程有限公司', 'cid': '002105291305856955'}
{'cname': '洛阳市中东建筑有限公司', 'cid': '002207202013356502'}
{'cname': '陕西坤诚盈泰建筑工程有限公司', 'cid': '002105291259815911'}
{'cname': '广东盛达建筑工程机械设备租赁服务有限公司', 'cid': '002105291328033866'}
{'cname': '新疆国都建设有限公司', 'cid': '002105291241563214'}
{'cname': '鹤壁玖辰建筑工程有限公司', 'cid': '002105291248680440'}
{'cname': '上海爱思考建筑装饰工程有限公司', 'cid': '002105291259813942'}
{'cname': '安徽径陌建筑工程有限公司', 'cid': '002111031908209876'}
{'cname': '辽宁洪腾建设工程有限公司', 'cid': '002105291313930668'}
{'cname': '南京万光建筑工程有限公司', 'cid': '002105291240501004'}
{'cname': '江西奥威消防装饰工程有限公司', 'cid': '002105291328037626'}
{'cname': '淄博星辰市政公用工程有限公司', 'cid': '002105291240477921'}
{'cname': '江苏康信智建设工程有限公司', 'cid': '002106261905123184'}
{'cname': '如皋海睿电器有限公司', 'cid': '002107301917157879'}
{'cname': '浙江正泰新能源开发有限公司', 'cid': '002105291313939020'}
{'cname': '烟台榕林装饰有限公司', 'cid': '002202242019277171'}
{'cname': '陕西东格机电安装工程有限公司', 'cid': '002105291241613753'}
{'cname': '临武县建筑工程公司', 'cid': '002105291240488014'}
{'cname': '柳州市众帮建筑劳务有限责任公司', 'cid': '002105291240467032'}
{'cname': '江苏林方建筑安装工程有限公司', 'cid': '002105291248647248'}
{'cname': '江苏岳鼎建设有限公司', 'cid': '002105291240557747'}
{'cname': '广西碧诚建设工程有限公司', 'cid': '002105291313959261'}
{'cname': '辽宁祥美建设工程有限公司', 'cid': '002105291321964951'}
{'cname': '洛阳电力勘察设计有限公司', 'cid': '002105291240557429'}
{'cname': '单县凯博商品混凝土有限公司', 'cid': '002105291248654236'}
{'cname': '四川欣尚防水保温工程有限公司', 'cid': '002203182008287855'}
{'cname': '中建八局南方建设有限公司', 'cid': '002105291305875623'}
{'cname': '武汉东盛达建筑装饰工程有限公司', 'cid': '002105291240472327'}
{'cname': '西安顺安建筑科技有限公司', 'cid': '002105291240562255'}
{'cname': '山西大生启新建筑工程有限公司', 'cid': '002105291305848644'}
{'cname': '青岛百果山建筑劳务有限公司', 'cid': '002105291240553253'}
{'cname': '北京鸿安鑫盛建筑工程有限公司', 'cid': '002105291240501379'}
{'cname': '安顺市东山混凝土有限公司', 'cid': '002105291241565090'}
{'cname': '威海市高伉建工基础工程有限责任公司', 'cid': '002105291240562734'}
{'cname': '中山南洋照明科技有限公司', 'cid': '002105291258810159'}
{'cname': '陕西百固建材有限公司', 'cid': '002105291240490879'}
{'cname': '淮安博柯尔建材有限公司', 'cid': '002105291255774307'}
{'cname': '辽宁大坤建筑装饰工程有限公司', 'cid': '002105291305873493'}
{'cname': '陕西华盾创典建设工程有限公司', 'cid': '002105291248658066'}
{'cname': '江苏康信智建设工程有限公司', 'cid': '002106261905123184'}
{'cname': '如皋海睿电器有限公司', 'cid': '002107301917157879'}
{'cname': '六安市供水工程公司', 'cid': '002105291305849471'}
{'cname': '洛阳市中东建筑有限公司', 'cid': '002207202013356502'}
{'cname': '河北华沃建筑工程有限公司', 'cid': '002105291322980105'}
{'cname': '青岛百果山建筑劳务有限公司', 'cid': '002105291240553253'}
{'cname': '深圳市和泰装饰工程有限公司', 'cid': '002105291335088343'}
{'cname': '湖北安采建筑工程有限公司', 'cid': '002205192010320322'}
{'cname': '安徽盛智建设工程有限公司', 'cid': '002105291305855502'}
{'cname': '西藏谢通门通籁建新建筑工程有限责任公司', 'cid': '002105291254755153'}
